序号,名称,年份,国家,类型,导演,评价人数,评分
192,哪吒闹海,1979,中国大陆,冒险 动画 奇幻, 严定宪 Dingxian Yan / 王树忱 Shuchen Wang,100993,8.9
193,完美陌生人,2016,意大利,剧情 喜剧, 保罗·格诺维瑟 Paolo Genovese,259702,8.6
194,谍影重重,2002,美国 德国 捷克,动作 悬疑 惊悚, 道格·里曼 Doug Liman,227614,8.5
195,追随,1998,英国,犯罪 悬疑 惊悚, 克里斯托弗·诺兰 Christopher Nolan,95609,8.9
196,谍影重重2,2004,美国 德国,动作 悬疑 惊悚, 保罗·格林格拉斯 Paul Greengrass,189670,8.6
197,地球上的星星,2007,印度,剧情 儿童 家庭, 阿米尔·汗 Aamir Khan,102035,8.9
198,牯岭街少年杀人事件,1991,台湾,剧情 犯罪, 杨德昌 Edward Yang,128172,8.8
199,撞车,2004,美国 德国,犯罪 剧情, 保罗·哈吉斯 Paul Haggis,198518,8.6
200,黑客帝国3：矩阵革命,2003,美国 澳大利亚,动作 科幻, Andy Wachowski / Larry Wachowski,188529,8.6
201,惊魂记,1960,美国,悬疑 惊悚 恐怖, Alfred Hitchcock,102105,8.9
202,青蛇,1993,香港,剧情 奇幻 古装, 徐克 Hark Tsui,265227,8.5
203,梦之安魂曲,2000,美国,剧情, 达伦·阿伦诺夫斯基 Darren Aronofsky,129451,8.7
204,海街日记,2015,日本,剧情 家庭, 是枝裕和 Hirokazu Koreeda,172078,8.7
205,小萝莉的猴神大叔,2015,印度,剧情 喜剧 动作, 卡比尔·汗 Kabir Khan,214058,8.5
206,再次出发之纽约遇见你,2013,美国,喜剧 爱情 音乐, 约翰·卡尼 John Carney,208918,8.5
207,新龙门客栈,1992,香港 中国大陆,剧情 动作 武侠 古装, 李惠民 Raymond Lee,221659,8.5
208,步履不停,2008,日本,剧情 家庭, 是枝裕和 Hirokazu Koreeda,110105,8.8
209,源代码,2011,美国 加拿大,科幻 悬疑 惊悚, 邓肯·琼斯 Duncan Jones,465131,8.4
210,终结者2：审判日,1991,美国 法国,动作 科幻, 詹姆斯·卡梅隆 James Cameron,167639,8.6
211,东京物语,1953,日本,剧情 家庭, 小津安二郎 Yasujirô Ozu,62012,9.2
212,初恋这件小事,2010,泰国,剧情 喜剧 爱情, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,543364,8.3
213,疯狂的石头,2006,中国大陆 香港,喜剧 犯罪, 宁浩 Hao Ning,379501,8.3
214,城市之光,1931,美国,喜剧 剧情 爱情, Charles Chaplin,54856,9.2
215,绿里奇迹,1999,美国,犯罪 剧情 奇幻 悬疑, Frank Darabont,125647,8.7
216,爱在午夜降临前,2013,美国,剧情 爱情, 理查德·林克莱特 Richard Linklater,140256,8.8
217,无耻混蛋,2009,美国 德国,剧情 犯罪, Quentin Tarantino,257951,8.5
218,末路狂花,1991,美国 法国,犯罪 剧情 惊悚, 雷德利·斯科特 Ridley Scott,121803,8.7
219,这个男人来自地球,2007,美国,剧情 科幻, 理查德·沙因克曼 Richard Schenkman,213826,8.5
220,秒速5厘米,2007,日本,动画 剧情 爱情, 新海诚 Makoto Shinkai,356856,8.3
221,勇闯夺命岛,1996,美国,动作 冒险, 迈克尔·贝 Michael Bay,162496,8.6
222,E.T. 外星人,1982,美国,剧情 科幻, Steven Spielberg,181880,8.5
223,变脸,1997,美国,动作 科幻 犯罪 惊悚, 吴宇森 John Woo,244387,8.4
224,彗星来的那一夜,2013,美国 英国,科幻 悬疑 惊悚, 詹姆斯·沃德·布柯特 James Ward Byrkit,225731,8.4
225,碧海蓝天,1988,法国 美国 意大利,剧情 爱情, Luc Besson,116246,8.7
226,卡萨布兰卡,1942,美国,剧情 爱情 战争, Michael Curtiz,142867,8.6
227,黄金三镖客,1966,意大利 西班牙 西德,冒险 西部, Sergio Leone,61388,9.1
228,发条橙,1971,英国 美国,犯罪 剧情 科幻, Stanley Kubrick,211098,8.5
229,聚焦,2015,美国,剧情 传记, 托马斯·麦卡锡 Thomas McCarthy,151475,8.8
230,血钻,2006,美国 德国,剧情 惊悚 冒险, 爱德华·兹威克 Edward Zwick,161101,8.6
231,美国丽人,1999,美国,剧情 爱情 家庭, 萨姆·门德斯 Sam Mendes,212239,8.5
232,国王的演讲,2010,英国 澳大利亚 美国,剧情 传记 历史, 汤姆·霍珀 Tom Hooper,390017,8.3
233,海盗电台,2009,英国 德国 法国,剧情 喜剧 音乐, 理查德·柯蒂斯 Richard Curtis,182209,8.6
234,非常嫌疑犯,1995,德国 美国,剧情 犯罪 悬疑 惊悚, 布莱恩·辛格 Bryan Singer,139181,8.6
235,荒野生存,2007,美国,冒险 传记 剧情, 西恩·潘 Sean Penn,146069,8.6
236,黑鹰坠落,2001,美国,动作 历史 战争, 雷德利·斯科特 Ridley Scott,141140,8.6
237,我爱你,2011,韩国,剧情 爱情, 秋昌民 Chang-min Choo,70741,9.0
238,千钧一发,1997,美国,剧情 科幻 惊悚, 安德鲁·尼科尔 Andrew Niccol,107616,8.7
239,英国病人,1996,美国 英国,爱情 剧情 战争, 安东尼·明格拉 Anthony Minghella,193862,8.5
240,遗愿清单,2007,美国,冒险 喜剧 剧情, 罗伯·莱纳 Rob Reiner,156517,8.5
241,2001太空漫游,1968,英国 美国,科幻 惊悚 冒险, 斯坦利·库布里克 Stanley Kubrick,115785,8.7
242,荒岛余生,2000,美国,冒险 剧情, 罗伯特·泽米吉斯 Robert Zemeckis,159806,8.5
243,迁徙的鸟,2001,法国 德国 意大利 西班牙 瑞士,纪录片, 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,56989,9.1
244,勇士,2011,美国,剧情 运动 家庭, 加文·欧康诺 Gavin O'Connor,98278,8.9
245,枪火,1999,香港,剧情 动作 犯罪, 杜琪峰 Johnnie To,116326,8.7
246,海蒂和爷爷,2015,德国 瑞士 南非,剧情 冒险 家庭, 阿兰·葛斯彭纳 Alain Gsponer,66790,9.0
247,叫我第一名,2008,美国,剧情 传记, 彼得·维纳 Peter Werner,122575,8.6
248,燕尾蝶,1996,日本,犯罪 剧情, 岩井俊二 Shunji Iwai,117029,8.6
249,穆赫兰道,2001,法国 美国,剧情 悬疑 惊悚, 大卫·林奇 David Lynch,265875,8.3
250,大卫·戈尔的一生,2003,美国 德国 英国,剧情 犯罪 悬疑, Alan Parker,113541,8.6
